1860;1870;1880;1890;1900;1910;1920;1930;1940;1950;1960
Kauppapoika,5;Kauppapoika,10;Kauppapoika,20;Kauppapoika,30;Kauppapoika,50;Kauppapoika,70;Myymäläapulainen,80;Myymäläapulainen,90;Myymäläapulainen,100;Myymäläapulainen,100;Myymäläapulainen,100
Halkopoika,30;Halkopoika,30;Halkopoika,35;Halkopoika,40;Halkopoika,40;Halkopoika,30;Halkopoika,20;-,0;-,0;-,0;-,0
Vedenkantaja,40;Vedenkantaja,40;Vedenkantaja,35;Vedenkantaja,30;Vedenkantaja,20;Vedenkantaja,10;-,0;-,0;-,0;-,0;-,0
Käsipoika,20;Käsipoika,20;Käsipoika,20;Käsipoika,20;Käsipoika,20;-,0;-,0;-,0;-,0;-,0;-,0
Konepoika,0;-,0;-,0;Konepoika,10;Konepoika,30;Konepoika,50;Koneapulainen,70;Koneapulainen,90;Koneapulainen,100;Koneapulainen,100;Koneapulainen,100
Leipurinpoika,10;Leipurinpoika,15;Leipurinpoika,20;Leipurinpoika,25;Leipurinpoika,30;Leipurinpoika,30;Leipuriharjoittelija,40;Leipuriharjoittelija,50;Leipuriharjoittelija,60;Leipuriharjoittelija,60;Leipuriharjoittelija,60
Sepänpoika,30;Sepänpoika,30;Sepänpoika,25;Sepänpoika,20;Sepänpoika,15;Sepänpoika,10;-,0;-,0;-,0;-,0;-,0
Sähköpoika,0;-,0;-,0;-,0;Sähköpoika,5;Sähköpoika,15;Sähköapulainen,40;Sähköapulainen,70;Sähköapulainen,90;Sähköapulainen,100;Sähköapulainen,100
Koululainen,5;Koululainen,10;Koululainen,20;Koululainen,40;Koululainen,60;Koululainen,80;Koululainen,100;Koululainen,100;Koululainen,100;Koululainen,100;Koululainen,100
Oppilas,10;Oppilas,15;Oppilas,20;Oppilas,30;Oppilas,50;Oppilas,70;Oppilas,90;Oppilas,100;Oppilas,100;Oppilas,100;Oppilas,100
Kotiopiskelija,20;Kotiopiskelija,20;Kotiopiskelija,15;Kotiopiskelija,10;-,0;-,0;-,0;-,0;-,0;-,0;-,0
Linnustaja,30;Linnustaja,25;Linnustaja,20;Linnustaja,10;-,0;-,0;-,0;-,0;-,0;-,0;-,0
Kalastusapulainen,40;Kalastusapulainen,40;Kalastusapulainen,40;Kalastusapulainen,35;Kalastusapulainen,30;Kalastusapulainen,25;Kalastusapulainen,20;Kalastusapulainen,15;Kalastusapulainen,10;Kalastusapulainen,5;-,0
Metsästysapulainen,20;Metsästysapulainen,20;Metsästysapulainen,15;-,0;-,0;-,0;-,0;-,0;-,0;-,0;-,0
Viilaripoika,0;-,0;Viilaripoika,5;Viilaripoika,10;Viilaripoika,20;Viilaripoika,30;Viilariharjoittelija,40;Viilariharjoittelija,50;Viilariharjoittelija,60;Viilariharjoittelija,60;Viilariharjoittelija,60
Tulitikkutehtaan poika,5;Tulitikkutehtaan poika,15;Tulitikkutehtaan poika,30;Tulitikkutehtaan poika,40;Tulitikkutehtaan poika,30;-,0;-,0;-,0;-,0;-,0;-,0
Konttoripoika,0;-,0;Konttoripoika,5;Konttoripoika,15;Konttoripoika,30;Konttoripoika,50;Konttoripoika,70;Konttoriapulainen,90;Konttoriapulainen,100;Konttoriapulainen,100;Konttoriapulainen,100
Hotellipoika,0;Hotellipoika,5;Hotellipoika,10;Hotellipoika,20;Pikkolo,40;Pikkolo,60;Pikkolo,80;Pikkolo,100;Pikkolo,100;Pikkolo,100;Pikkolo,100
Hissipoika,0;-,0;-,0;-,0;Hissipoika,5;Hissipoika,15;Hissipoika,30;Hissipoika,50;Hissipoika,60;Hissipoika,40;-,0
Keilaaja,0;-,0;Keilaaja,5;Keilaaja,10;Keilaaja,20;Keilaaja,30;Keilapoika,50;Keilapoika,70;Keilapoika,80;Keilapoika,60;-,0
Golf-caddie,0;-,0;-,0;-,0;-,0;-,0;Caddie,5;Caddie,15;Caddie,30;Caddie,50;Caddie,60
Parturipoika,5;Parturipoika,10;Parturipoika,15;Parturipoika,20;Parturipoika,25;Parturipoika,30;Parturiharjoittelija,40;Parturiharjoittelija,50;Parturiharjoittelija,60;Parturiharjoittelija,60;Parturiharjoittelija,60
Satamapoika,10;Satamapoika,20;Satamapoika,30;Satamapoika,40;Satamapoika,50;Satamapoika,50;Satama-apulainen,60;Satama-apulainen,70;Satama-apulainen,70;Satama-apulainen,60;Satama-apulainen,50
Rahtipoika,20;Rahtipoika,20;Rahtipoika,25;Rahtipoika,30;Rahtipoika,20;-,0;-,0;-,0;-,0;-,0;-,0
Myllypoika,20;Myllypoika,20;Myllypoika,15;Myllypoika,10;-,0;-,0;-,0;-,0;-,0;-,0;-,0
Lastaajapoika,10;Lastaajapoika,15;Lastaajapoika,20;Lastaajapoika,20;Lastaajapoika,15;-,0;-,0;-,0;-,0;-,0;-,0
Tienrakennusapulainen,5;Tienrakennusapulainen,10;Tienrakennusapulainen,15;Tienrakennusapulainen,20;Tienrakennusapulainen,30;Tienrakennusapulainen,40;Tienrakennusapulainen,50;Tienrakennusapulainen,60;Tienrakennusapulainen,60;Tienrakennusapulainen,50;Tienrakennusapulainen,40
Maalariapulainen,5;Maalariapulainen,10;Maalariapulainen,15;Maalariapulainen,20;Maalariapulainen,30;Maalariapulainen,40;Maalariapulainen,50;Maalariapulainen,60;Maalariapulainen,70;Maalariapulainen,80;Maalariapulainen,80
Muurausapulainen,5;Muurausapulainen,10;Muurausapulainen,15;Muurausapulainen,20;Muurausapulainen,30;Muurausapulainen,40;Muurausapulainen,50;Muurausapulainen,60;Muurausapulainen,70;Muurausapulainen,80;Muurausapulainen,80
Puusepänapulainen,10;Puusepänapulainen,15;Puusepänapulainen,20;Puusepänapulainen,30;Puusepänapulainen,40;Puusepänapulainen,50;Puusepänapulainen,60;Puusepänapulainen,70;Puusepänapulainen,80;Puusepänapulainen,80;Puusepänapulainen,80
Verstapoika,20;Verstapoika,25;Verstapoika,30;Verstapoika,40;Verstapoika,50;Verstapoika,60;Verstapoika,60;Verstapoika,50;-,0;-,0;-,0
Lehtienjakaja,0;-,0;-,0;-,0;-,0;-,0;Lehtienjakaja,40;Lehtienjakaja,70;Lehtienjakaja,90;Lehtienjakaja,100;Lehtienjakaja,100
Varastopoika,5;Varastopoika,10;Varastopoika,20;Varastopoika,40;Varastopoika,60;Varastopoika,80;Varastopoika,100;Varastopoika,100;Varastopoika,100;Varastopoika,100;Varastopoika,100
Pikakirjoittajapoika,0;-,0;-,0;-,0;Pikakirjoittaja,5;Pikakirjoittaja,10;-,0;-,0;-,0;-,0;-,0
Konekirjoittajapoika,0;-,0;-,0;-,0;Konekirjoittaja,5;Konekirjoittaja,10;-,0;-,0;-,0;-,0;-,0
Metsäharjoittelija,0;-,0;-,0;-,0;Metsäharjoittelija,10;Metsäharjoittelija,20;Metsäharjoittelija,40;Metsäharjoittelija,60;Metsäharjoittelija,80;Metsäharjoittelija,90;Metsäharjoittelija,100
Urheiluharjoittelija,0;-,0;-,0;-,0;-,0;-,0;Urheilija,5;Urheilija,15;Urheilija,30;Urheilija,50;Urheilija,80
Poropoika,10;Poropoika,15;Poropoika,20;Poropoika,25;Poropoika,30;Poropoika,35;Poropoika,30;Poropoika,20;-,0;-,0;-,0
Veneenveistäjäoppilas,5;Veneenveistäjäoppilas,10;Veneenveistäjäoppilas,15;Veneenveistäjäoppilas,15;Veneenveistäjäoppilas,15;Veneenveistäjäoppilas,10;-,0;-,0;-,0;-,0;-,0
