1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29;1930-39;1940-49;1950-59;1960-69
Palas,0;Palas,0;Palas,0;Palas,1;Palas,3;Palas,6;Palas,10;Palas,12;Palas,12;Palas,11;Palas,10
Paloheimo,0;Paloheimo,0;Paloheimo,2;Paloheimo,8;Paloheimo,18;Paloheimo,28;Paloheimo,35;Paloheimo,42;Paloheimo,42;Paloheimo,40;Paloheimo,38
Rainiola,0;Rainiola,0;Rainiola,0;Rainiola,1;Rainiola,3;Rainiola,6;Rainiola,10;Rainiola,12;Rainiola,12;Rainiola,11;Rainiola,10
Rantakari,0;Rantakari,0;Rantakari,1;Rantakari,4;Rantakari,10;Rantakari,18;Rantakari,25;Rantakari,32;Rantakari,32;Rantakari,30;Rantakari,28
Rauhala,0;Rauhala,1;Rauhala,5;Rauhala,12;Rauhala,25;Rauhala,42;Rauhala,55;Rauhala,65;Rauhala,65;Rauhala,62;Rauhala,60
Sarkia,0;Sarkia,0;Sarkia,0;Sarkia,1;Sarkia,3;Sarkia,6;Sarkia,10;Sarkia,12;Sarkia,12;Sarkia,11;Sarkia,10
Siilasvuo,0;Siilasvuo,0;Siilasvuo,0;Siilasvuo,0;Siilasvuo,2;Siilasvuo,5;Siilasvuo,10;Siilasvuo,12;Siilasvuo,12;Siilasvuo,11;Siilasvuo,10
Sinisalo,0;Sinisalo,0;Sinisalo,1;Sinisalo,5;Sinisalo,15;Sinisalo,28;Sinisalo,42;Sinisalo,52;Sinisalo,55;Sinisalo,52;Sinisalo,50
Soisalon-Soininen,0;Soisalon-Soininen,0;Soisalon-Soininen,1;Soisalon-Soininen,4;Soisalon-Soininen,8;Soisalon-Soininen,12;Soisalon-Soininen,15;Soisalon-Soininen,18;Soisalon-Soininen,18;Soisalon-Soininen,16;Soisalon-Soininen,14
Somerjoki,0;Somerjoki,0;Somerjoki,0;Somerjoki,1;Somerjoki,3;Somerjoki,6;Somerjoki,10;Somerjoki,12;Somerjoki,12;Somerjoki,11;Somerjoki,10
Suolahti,0;Suolahti,0;Suolahti,2;Suolahti,8;Suolahti,15;Suolahti,22;Suolahti,28;Suolahti,32;Suolahti,32;Suolahti,30;Suolahti,28
Suri,0;Suri,0;Suri,0;Suri,1;Suri,3;Suri,6;Suri,10;Suri,12;Suri,12;Suri,11;Suri,10
Talas,0;Talas,0;Talas,1;Talas,4;Talas,10;Talas,18;Talas,25;Talas,32;Talas,32;Talas,30;Talas,28
Tanner,0;Tanner,1;Tanner,5;Tanner,15;Tanner,35;Tanner,55;Tanner,75;Tanner,85;Tanner,85;Tanner,82;Tanner,80
Tulenheimo,0;Tulenheimo,0;Tulenheimo,1;Tulenheimo,5;Tulenheimo,12;Tulenheimo,18;Tulenheimo,25;Tulenheimo,28;Tulenheimo,28;Tulenheimo,26;Tulenheimo,24
Tuomioja,0;Tuomioja,0;Tuomioja,1;Tuomioja,4;Tuomioja,10;Tuomioja,18;Tuomioja,25;Tuomioja,32;Tuomioja,32;Tuomioja,30;Tuomioja,28
Uotila,10;Uotila,12;Uotila,15;Uotila,20;Uotila,35;Uotila,52;Uotila,68;Uotila,78;Uotila,80;Uotila,78;Uotila,75
Virkkunen,0;Virkkunen,0;Virkkunen,2;Virkkunen,10;Virkkunen,25;Virkkunen,45;Virkkunen,62;Virkkunen,75;Virkkunen,78;Virkkunen,75;Virkkunen,72
Vuorjoki,0;Vuorjoki,0;Vuorjoki,0;Vuorjoki,1;Vuorjoki,4;Vuorjoki,8;Vuorjoki,12;Vuorjoki,15;Vuorjoki,15;Vuorjoki,14;Vuorjoki,12
Waloniemi,0;Waloniemi,0;Waloniemi,0;Waloniemi,1;Waloniemi,3;Waloniemi,6;Waloniemi,10;Waloniemi,12;Waloniemi,12;Waloniemi,11;Waloniemi,10
