1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29
Kalle,4;Pekka,4;Karl,4;Eino,5;Arvo,6;Väinö,5;Aukusti,5
Henrik,4;Kalle,4;Juhana,4;Jalmari,5;Väinö,5;Oskar,5;Arvo,5
Sulo,3;Artturi,4;Eino,4;Iivari,5;Uuno,5;Erik,5;Ilmari,5
Mikael,3;Hjalmar,3;Hjalmar,4;Karl,5;Kalervo,5;Kalevi,5;Kalle,5
-,0;Lauri,3;Artturi,4;Arvo,4;Lauri,5;Lauri,5;Oskari,5
-,0;Mikko,3;Väinö,4;Hjalmar,4;Eero,4;Eero,5;Väinö,5
-,0;Ville,3;Paavo,3;Lauri,4;Oskar,4;Arvo,5;Uuno,5
-,0;Eino,3;Eero,3;Eero,4;Urho,4;Urho,5;Viljo,5
-,0;Valfrid,3;Lauri,3;Ville,4;Viljo,4;Kalle,5;Eino,5
-,0;Hjalmar,3;Arvo,3;Iisakki,4;Hannes,4;Viljo,4;Alvar,5
-,0;Paavo,3;Ville,3;Mikko,4;Yrjö,4;Eino,5;Eero,4
-,0;Karl,3;Kaarlo,3;Uuno,4;Kalle,4;Uuno,4;Urho,4
-,0;Paavali,2;Toivo,3;Toivo,4;Ensio,3;Unto,4;Lauri,4
-,0;Väinö,2;Henrik,3;Kalle,4;Ilmari,3;Iivari,4;Olavi,4
-,0;Emil,2;Ilmari,3;Sakari,3;Toivo,3;Hannes,4;Aarne,4
-,0;Aron,2;Mikko,3;Aarne,3;Iivari,3;Tauno,4;Hjalmar,4
-,0;Mikael,2;Niilo,2;Viljo,3;Niilo,3;Niilo,4;Tauno,4
-,0;Eero,2;Aarne,2;Henrik,3;Artturi,3;Yrjö,3;Pekka,4
-,0;Vih,2;Tauno,2;Joonas,3;Pekka,3;Pekka,3;Martti,4
-,0;Otto,2;Urho,2;Yrjö,3;Heikki,3;Aarre,3;Niilo,4
-,0;Joonas,2;Aukus,2;Heikki,3;Kauko,3;Toivo,3;Esko,4
-,0;Jooseppi,2;Joonas,2;Edvard,3;Tauno,3;Kauko,3;Lennart,3
-,0;Tuomas,2;Aatam,2;Niilo,3;Vieno,3;Alvar,3;Mauno,3
-,0;Henrikki,2;Elias,2;Jalmar,3;Mauno,3;Aarne,3;Pentti,3
-,0;Kaarlo,2;Onni,2;Tapani,2;Aarne,3;Mauno,3;Yrjö,3
-,0;Aatami,2;Uuno,2;Iisak,2;Onni,3;Esko,3;Ensio,3
-,0;Lauri,2;Iisak,2;Juhani,2;Heimo,3;Aatami,3;Veikko,3
-,0;Isak,2;Jooseppi,2;Aukus,2;Aatami,2;Heimo,3;Kullervo,3
-,0;Taneli,2;Tuomas,2;Verner,2;Gunnar,2;Aukus,3;Hannes,3
-,0;Aarne,1;Edvard,2;Onni,2;Pietari,2;Juho,2;Toimi,3
-,0;Albin,1;Kaar,2;Kaar,2;Aukus,2;Pietari,2;Viljam,3
-,0;Simo,1;Albin,2;Kaarle,2;Jooseppi,2;Heikki,2;Leo,3
-,0;Urho,1;Sakari,2;Pietari,2;Jalmar,2;Väinö,2;Heikki,2
-,0;Niilo,1;Salomon,2;Antti,2;Eelis,2;Uljas,2;Unto,3
-,0;Tauno,1;Eevert,2;Taneli,2;Simo,2;Eelis,2;Eelis,2
-,0;Vilho,1;Taneli,2;Salomon,2;Viljam,2;Viljam,2;Kosti,2
-,0;-,0;Akseli,2;Isak,2;Uljas,2;Antti,2;Jouko,2
-,0;-,0;Mikael,2;Akseli,2;Antti,2;Oiva,2;Oiva,2
-,0;-,0;Iisakki,2;Eevert,2;Verner,2;Sulo,2;Kalle,2
-,0;-,0;Antton,1;Jooseppi,2;Taavetti,2;Veikko,2;Vieno,2
-,0;-,0;Elias,1;Uljas,2;Kaarlo,2;Onni,2;Gunnar,2
-,0;-,0;Fredrik,1;Elias,2;Taneli,2;Eevert,2;Väinö,2
-,0;-,0;Verner,1;Viktor,2;Eevert,2;Salomon,2;Ilmari,2
-,0;-,0;Uuno,1;Albin,2;Mikael,2;Kaarlo,2;Pietari,2
-,0;-,0;Oskar,1;Henrikki,2;Salomon,2;Eino,2;Kauko,2
-,0;-,0;Juhani,1;Mikael,1;Albin,2;Jalmar,2;Aukus,2
-,0;-,0;Eero,1;Kaarle,1;Jalmar,1;Albin,2;Mainio,2
-,0;-,0;Kustaa,1;Pekka,1;Oskari,1;Iivari,2;Urho,2
-,0;-,0;Eino,1;Arvid,1;Isak,1;Arvid,2;Arvid,2
-,0;-,0;Viljo,1;Valdemar,1;Henrik,1;Simo,2;Heimo,2
-,0;-,0;Viktor,1;Iisak,1;Edvard,1;Antton,1;August,2
-,0;-,0;Santeri,1;Uljas,1;Artturi,1;Toivo,1;Aukus,2
-,0;-,0;Petteri,1;Antton,1;Axel,1;Kaarle,1;Kustaa,2
-,0;-,0;Pietari,1;Taavetti,1;Eino,1;Viktor,1;Iivari,2
-,0;-,0;Onni,1;Otto,1;Toivo,1;Taneli,2;Pekka,2
-,0;-,0;Nestori,1;Aatami,1;Otto,1;Mainio,1;Hjalmar,2
-,0;-,0;Joonas,1;Juhani,1;Tapani,1;Juhana,1;Henrik,2
-,0;-,0;Iisak,1;Iivari,1;Juhana,1;Akseli,1;Mikael,2
-,0;-,0;Iivari,1;Fredrik,1;Akseli,1;Artturi,1;Jalmar,2
-,0;-,0;Edvard,1;Eino,1;Aukus,1;Kustaa,1;Kaarlo,2
-,0;-,0;Anton,1;Eelis,1;Aaro,1;Mikael,1;Kaarle,2
-,0;-,0;Aleksander,1;Aarn,1;Uuno,1;Einar,1;Sulo,2
-,0;-,0;-,0;Väinö,1;Taito,1;Axel,1;Edvard,2
-,0;-,0;-,0;Toimi,1;Santeri,1;Aarne,1;Aarne,2
-,0;-,0;-,0;Nestori,1;Oiva,1;Lennart,1;Veli,2
-,0;-,0;-,0;Lauri,1;Kosti,1;Joonas,1;Kosti,2
-,0;-,0;-,0;Kosti,1;Juhani,1;Henrik,1;Elias,2
-,0;-,0;-,0;Ivar,1;Ivar,1;Hjalmar,1;Verner,2
-,0;-,0;-,0;Hannes,1;Gunnar,1;Eelis,1;Uno,2
-,0;-,0;-,0;Evert,1;Evert,1;Edvard,1;Akseli,2
-,0;-,0;-,0;Elias,1;Arvid,1;Anton,1;Albin,2
-,0;-,0;-,0;Anton,1;Aaro,1;Taito,1;Taavetti,2
-,0;-,0;-,0;Aapo,1;Väinö,1;Santeri,1;Paavali,2
-,0;-,0;-,0;-,0;Taavetti,1;Kosti,1;Lauri,2
-,0;-,0;-,0;-,0;Salomon,1;Jalmar,1;Henrikki,2
-,0;-,0;-,0;-,0;Nestori,1;Emil,1;Joonas,2
-,0;-,0;-,0;-,0;Lauri,1;Evert,1;Juhana,2
-,0;-,0;-,0;-,0;Karl,1;Aarno,1;Aatami,2
-,0;-,0;-,0;-,0;Joonas,1;Aarn,1;Aapeli,2
-,0;-,0;-,0;-,0;Jalmari,1;-,0;Valdemar,2
-,0;-,0;-,0;-,0;Ivar,1;-,0;Tuomas,2
-,0;-,0;-,0;-,0;Heikki,1;-,0;-,0
-,0;-,0;-,0;-,0;Hannes,1;-,0;-,0
-,0;-,0;-,0;-,0;Eevert,1;-,0;-,0
