1860;1870;1880;1890;1900;1910;1920;1930;1940;1950;1960
Puodinpitäjä,10;Puodinpitäjä,20;Kauppa-apulainen,30;Kauppa-apulainen,40;Kauppa-apulainen,50;Kauppa-apulainen,60;Myymälänhoitaja,70;Myymälänhoitaja,80;Myymälänhoitaja,90;Myymälänhoitaja,100;Myymälänhoitaja,100
Kirjuri,10;Kirjuri,20;Kirjanpitäjä,30;Kirjanpitäjä,40;Kirjanpitäjä,50;Kirjanpitäjä,60;Kirjanpitäjä,70;Kirjanpitäjä,80;Kirjanpitäjä,90;Kirjanpitäjä,100;Kirjanpitäjä,100
-,0;-,0;Konttoristi,10;Konttoristi,30;Konttoristi,50;Konttoristi,70;Konttoristi,80;Konttoristi,90;Konttoristi,100;Konttoristi,100;Konttoristi,100
Opettaja,5;Opettaja,15;Opettaja,30;Opettaja,50;Opettaja,70;Opettaja,80;Opettaja,90;Opettaja,100;Opettaja,100;Opettaja,100;Opettaja,100
Lukkari,40;Lukkari,40;Lukkari,35;Lukkari,30;Lukkari,25;Lukkari,20;Lukkari,10;Kanttori,15;Kanttori,20;Kanttori,20;Kanttori,20
Pappi,30;Pappi,30;Pappi,30;Pappi,30;Pappi,30;Pappi,30;Pappi,30;Kirkkoherra,30;Kirkkoherra,30;Kirkkoherra,30;Kirkkoherra,30
Nimismies,15;Nimismies,15;Nimismies,15;Nimismies,15;Nimismies,15;Nimismies,15;Nimismies,15;Nimismies,15;Nimismies,15;Nimismies,15;Nimismies,15
Apteekkari,10;Apteekkari,10;Apteekkari,12;Apteekkari,15;Apteekkari,18;Apteekkari,20;Apteekkari,20;Apteekkari,25;Apteekkari,25;Apteekkari,25;Apteekkari,25
Lääkäri,5;Lääkäri,8;Lääkäri,12;Lääkäri,15;Lääkäri,25;Lääkäri,35;Lääkäri,40;Lääkäri,50;Lääkäri,65;Lääkäri,80;Lääkäri,100
-,0;-,0;Agronomi,2;Agronomi,5;Agronomi,10;Agronomi,15;Agronomi,20;Agronomi,30;Agronomi,40;Agronomi,50;Agronomi,60
-,0;-,0;Rakennusmestari,5;Rakennusmestari,20;Rakennusmestari,40;Rakennusmestari,50;Rakennusmestari,60;Rakennusmestari,70;Rakennusinsinööri,80;Rakennusinsinööri,90;Rakennusinsinööri,100
Muurari,40;Muurari,45;Muurari,50;Muurari,60;Muurari,70;Muurari,70;Muurari,70;Muurari,80;Muurari,80;Muurari,80;Muurari,80
Maalari,20;Maalari,25;Maalari,30;Maalari,40;Maalari,50;Maalari,60;Maalari,60;Maalari,70;Maalari,80;Maalari,80;Maalari,80
Puuseppä,60;Puuseppä,65;Puuseppä,70;Puuseppä,70;Puuseppä,75;Puuseppä,80;Puuseppä,80;Puuseppä,80;Puuseppä,80;Puuseppä,70;Puuseppä,60
Satamamies,30;Satamamies,40;Satamatyömies,50;Satamatyömies,70;Satamatyömies,80;Satamatyömies,90;Satamatyömies,90;Ahtaaja,100;Ahtaaja,100;Ahtaaja,100;Ahtaaja,100
Syytinkiläinen,60;Syytinkiläinen,60;Syytinkiläinen,50;Syytinkiläinen,40;Syytinkiläinen,30;Syytinkiläinen,20;Eläkeläinen,20;Eläkeläinen,40;Eläkeläinen,60;Eläkeläinen,80;Eläkeläinen,100
Huutolainen,40;Huutolainen,35;Huutolainen,25;Huutolainen,10;Huutolainen,5;-,0;-,0;-,0;-,0;-,0;-,0
Lampuoti,50;Lampuoti,50;Lampuoti,40;Lampuoti,20;Lampuoti,10;-,0;-,0;-,0;-,0;-,0;-,0
Itsellinen,70;Itsellinen,70;Itsellinen,60;Itsellinen,50;Itsellinen,30;Sekatyömies,40;Sekatyömies,60;Sekatyömies,80;Työmies,100;Työmies,100;Työmies,100
Poromies,10;Poromies,15;Poromies,20;Poromies,25;Poromies,30;Poromies,35;Poromies,40;Poromies,45;Poromies,50;Poromies,50;Poromies,50
Metsänvartija,5;Metsänvartija,10;Metsänvartija,15;Metsänvartija,20;Metsänvartija,25;Metsänvartija,30;Metsänvartija,30;Metsänvartija,30;Metsänvartija,30;Metsänvartija,30;Metsänvartija,30
-,0;Kullanhuuhtoja,40;Kullanhuuhtoja,10;-,0;-,0;-,0;-,0;-,0;-,0;-,0;-,0
Luotsi,20;Luotsi,25;Luotsi,30;Luotsi,35;Luotsi,40;Luotsi,40;Luotsi,35;Luotsi,30;Luotsi,25;Luotsi,20;Luotsi,15
Tervanpolttaja,100;Tervanpolttaja,100;Tervanpolttaja,90;Tervanpolttaja,60;Tervanpolttaja,30;Tervanpolttaja,10;-,0;-,0;-,0;-,0;-,0
Tervasoutaja,80;Tervasoutaja,80;Tervasoutaja,70;Tervasoutaja,40;Tervasoutaja,10;-,0;-,0;-,0;-,0;-,0;-,0
Paperityöläinen,0;Paperityöläinen,5;Paperityöläinen,20;Paperityöläinen,50;Paperityöläinen,80;Paperityöläinen,100;Paperityöläinen,100;Paperityöläinen,100;Paperityöntekijä,100;Paperityöntekijä,100;Paperityöntekijä,100
Kerjäläinen,50;Kerjäläinen,40;Kerjäläinen,30;Kerjäläinen,20;Kerjäläinen,10;Kerjäläinen,5;-,0;-,0;-,0;-,0;-,0
Laukkuryssä,30;Laukkuryssä,40;Laukkuryssä,50;Laukkuryssä,40;Laukkuryssä,20;Laukkuryssä,5;-,0;-,0;-,0;-,0;-,0
Sotilas,40;Sotilas,30;Sotilas,20;Sotilas,20;Sotilas,30;Sotilas,50;Sotilas,60;Sotilas,70;Sotilas,100;Sotilas,80;Sotilas,60
Lasinpuhaltaja,30;Lasinpuhaltaja,40;Lasinpuhaltaja,50;Lasinpuhaltaja,60;Lasinpuhaltaja,60;Lasinpuhaltaja,50;Lasinpuhaltaja,40;Lasinpuhaltaja,30;Lasinpuhaltaja,25;Lasinpuhaltaja,20;Lasinpuhaltaja,15
