1860;1870;1880;1890;1900;1910;1920;1930;1940;1950;1960
Kukkienmyyjä,5;Kukkienmyyjä,10;Kukkienmyyjä,15;Kukkienmyyjä,20;Kukkienmyyjä,25;Kukkamyyjä,30;Kukkamyyjä,30;Kukkamyyjä,30;Kukkamyyjä,20;Kukkamyyjä,10;-,0
Tarjoilija-apulainen,0;-,0;-,0;Tarjoilija-apulainen,10;Tarjoilija-apulainen,30;Tarjoilija-apulainen,50;Ravintola-apulainen,70;Ravintola-apulainen,90;Ravintola-apulainen,100;Ravintola-apulainen,100;Ravintola-apulainen,100
Hotellityttö,0;-,0;Hotellityttö,5;Hotellityttö,10;Kerrosapulainen,30;Kerrosapulainen,50;Kerrosapulainen,70;Kerrosapulainen,90;Kerrosapulainen,100;Kerrosapulainen,100;Kerrosapulainen,100
Siivousapulainen,20;Siivousapulainen,30;Siivousapulainen,40;Siivousapulainen,50;Siivousapulainen,60;Siivousapulainen,70;Siivousapulainen,80;Siivousapulainen,90;Siivousapulainen,100;Siivousapulainen,100;Siivousapulainen,100
Kotiopetuksessa,30;Kotiopetuksessa,30;Kotiopetuksessa,25;Kotiopetuksessa,15;Kotiopetuksessa,5;-,0;-,0;-,0;-,0;-,0;-,0
Pitsinnyplääjä,15;Pitsinnyplääjä,15;Pitsinnyplääjä,10;Pitsinnyplääjä,5;-,0;-,0;-,0;-,0;-,0;-,0;-,0
Käsityöoppilas,20;Käsityöoppilas,25;Käsityöoppilas,30;Käsityöoppilas,35;Käsityöoppilas,40;Käsityöoppilas,40;Käsityöoppilas,30;-,0;-,0;-,0;-,0
Apteekkityttö,0;-,0;-,0;-,0;Apteekkiapulainen,10;Apteekkiapulainen,20;Apteekkiapulainen,40;Apteekkiapulainen,60;Apteekkiapulainen,80;Apteekkiapulainen,90;Apteekkiapulainen,100
Toimistoapulainen,0;-,0;-,0;-,0;Toimistoapulainen,10;Toimistoapulainen,30;Toimistoapulainen,60;Toimistoapulainen,90;Toimistoapulainen,100;Toimistoapulainen,100;Toimistoapulainen,100
Lennätinoppilas,0;-,0;Lennätinoppilas,5;Lennätinoppilas,10;Lennätinoppilas,15;Lennätinoppilas,15;-,0;-,0;-,0;-,0;-,0
Puhelinharjoittelija,0;-,0;-,0;-,0;Puhelinharjoittelija,10;Puhelinharjoittelija,30;Puhelinharjoittelija,50;Puhelinharjoittelija,70;Puhelinharjoittelija,60;-,0;-,0
Parturioppilas,0;-,0;-,0;Parturioppilas,5;Parturioppilas,15;Kampaajaoppilas,30;Kampaajaoppilas,50;Kampaajaoppilas,70;Kampaajaoppilas,90;Kampaajaoppilas,100;Kampaajaoppilas,100
Valokuvaajaoppilas,0;-,0;-,0;Valokuvaajaoppilas,5;Valokuvaajaoppilas,10;Valokuvaajaoppilas,20;Valokuvaajaoppilas,30;Valokuvaajaoppilas,40;Valokuvaajaoppilas,40;Valokuvaajaoppilas,30;Valokuvaajaoppilas,30
Kylvettäjä-apulainen,10;Kylvettäjä-apulainen,10;Kylvettäjä-apulainen,15;Kylvettäjä-apulainen,20;Sauna-apulainen,20;Sauna-apulainen,20;Sauna-apulainen,15;-,0;-,0;-,0;-,0
Kirjastoapulainen,0;-,0;-,0;-,0;-,0;Kirjastoapulainen,5;Kirjastoapulainen,15;Kirjastoapulainen,30;Kirjastoapulainen,50;Kirjastoapulainen,70;Kirjastoapulainen,90
Leivonta-apulainen,20;Leivonta-apulainen,25;Leivonta-apulainen,30;Leivonta-apulainen,40;Leivonta-apulainen,50;Leivonta-apulainen,60;Leivonta-apulainen,70;Leivonta-apulainen,80;Leivonta-apulainen,90;Leivonta-apulainen,100;Leivonta-apulainen,100
Kudonnanohjaaja-oppilas,5;Kudonnanohjaaja-oppilas,10;Kudonnanohjaaja-oppilas,15;Kudonnanohjaaja-oppilas,20;-,0;-,0;-,0;-,0;-,0;-,0;-,0
Sairaala-apulainen,0;-,0;-,0;Sairaala-apulainen,10;Sairaala-apulainen,20;Sairaala-apulainen,40;Sairaala-apulainen,60;Sairaala-apulainen,80;Sairaala-apulainen,100;Sairaala-apulainen,100;Sairaala-apulainen,100
Laboratorioapulainen,0;-,0;-,0;-,0;-,0;-,0;Laboratorioapulainen,5;Laboratorioapulainen,15;Laboratorioapulainen,30;Laboratorioapulainen,50;Laboratorioapulainen,70
Päiväkotiapulainen,0;-,0;-,0;-,0;-,0;-,0;-,0;Päiväkotiapulainen,20;Päiväkotiapulainen,40;Päiväkotiapulainen,60;Päiväkotiapulainen,80
Läksyjenlukuja,10;Läksyjenlukuja,10;Läksyjenlukuja,10;Läksyjenlukuja,10;Läksyjenlukuja,10;-,0;-,0;-,0;-,0;-,0;-,0
Käsityöntekijätyttö,30;Käsityöntekijätyttö,35;Käsityöntekijätyttö,40;Käsityöntekijätyttö,40;Käsityöntekijätyttö,30;-,0;-,0;-,0;-,0;-,0;-,0
Maalaistyttö,100;Maalaistyttö,100;Maalaistyttö,100;Maalaistyttö,90;Maalaistyttö,80;Maalaistyttö,70;Maalaistyttö,60;Maalaistyttö,50;Maalaistyttö,40;Maalaistyttö,30;Maalaistyttö,20
Kylätyttö,50;Kylätyttö,50;Kylätyttö,40;Kylätyttö,30;-,0;-,0;-,0;-,0;-,0;-,0;-,0
Kodinhengetär,10;Kodinhengetär,15;Kodinhengetär,20;Kodinhengetär,30;Kodinhengetär,40;Kodinhengetär,50;Kotiäidin apulainen,60;Kotiäidin apulainen,80;Kotiäidin apulainen,100;Kotiäidin apulainen,100;Kotiäidin apulainen,100
Urheilijatyttö,0;-,0;-,0;-,0;-,0;-,0;Urheilija,5;Urheilija,15;Urheilija,30;Urheilija,50;Urheilija,80
Musiikkioppilas,5;Musiikkioppilas,10;Musiikkioppilas,15;Musiikkioppilas,20;Musiikkioppilas,30;Musiikkioppilas,40;Musiikkioppilas,50;Musiikkioppilas,60;Musiikkioppilas,70;Musiikkioppilas,80;Musiikkioppilas,80
Tanssioppilas,0;-,0;Tanssioppilas,5;Tanssioppilas,10;Tanssioppilas,15;Tanssioppilas,20;Tanssioppilas,30;Tanssioppilas,40;Tanssioppilas,50;Tanssioppilas,60;Tanssioppilas,60
Löylytyttö,15;Löylytyttö,15;Löylytyttö,10;Löylytyttö,5;-,0;-,0;-,0;-,0;-,0;-,0;-,0
Sanomalehtityttö,0;-,0;-,0;-,0;-,0;-,0;Sanomalehtityttö,10;Sanomalehtityttö,30;Sanomalehtityttö,50;Sanomalehtityttö,60;Sanomalehtityttö,60
