1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29;1930-39;1940-49;1950-59;1960-69
Puntala,5;Puntala,5;Puntala,6;Puntala,8;Puntala,10;Puntala,12;Puntala,15;Puntala,18;Puntala,18;Puntala,16;Puntala,14
Pöyhönen,15;Pöyhönen,16;Pöyhönen,17;Pöyhönen,18;Pöyhönen,22;Pöyhönen,28;Pöyhönen,35;Pöyhönen,40;Pöyhönen,40;Pöyhönen,38;Pöyhönen,35
Ranta,5;Ranta,8;Ranta,15;Ranta,28;Ranta,48;Ranta,68;Ranta,85;Ranta,95;Ranta,98;Ranta,95;Ranta,90
Rautio,20;Rautio,21;Rautio,22;Rautio,25;Rautio,35;Rautio,52;Rautio,68;Rautio,78;Rautio,80;Rautio,78;Rautio,75
Rekola,12;Rekola,13;Rekola,14;Rekola,15;Rekola,18;Rekola,22;Rekola,28;Rekola,32;Rekola,32;Rekola,30;Rekola,28
Riihimäki,8;Riihimäki,10;Riihimäki,12;Riihimäki,18;Riihimäki,28;Riihimäki,38;Riihimäki,48;Riihimäki,55;Riihimäki,58;Riihimäki,55;Riihimäki,52
Salo,15;Salo,18;Salo,25;Salo,45;Salo,85;Salo,115;Salo,145;Salo,158;Salo,160;Salo,155;Salo,148
Seppälä,25;Seppälä,26;Seppälä,28;Seppälä,35;Seppälä,52;Seppälä,72;Seppälä,88;Seppälä,98;Seppälä,100;Seppälä,95;Seppälä,90
Simola,15;Simola,16;Simola,17;Simola,18;Simola,22;Simola,28;Simola,35;Simola,40;Simola,40;Simola,38;Simola,35
Suokas,12;Suokas,13;Suokas,14;Suokas,15;Suokas,18;Suokas,22;Suokas,28;Suokas,32;Suokas,32;Suokas,30;Suokas,28
Toivola,10;Toivola,11;Toivola,12;Toivola,15;Toivola,22;Toivola,32;Toivola,42;Toivola,48;Toivola,52;Toivola,50;Toivola,48
Uusi-Simola,2;Uusi-Simola,3;Uusi-Simola,4;Uusi-Simola,5;Uusi-Simola,8;Uusi-Simola,12;Uusi-Simola,15;Uusi-Simola,18;Uusi-Simola,18;Uusi-Simola,16;Uusi-Simola,14
Välimäki,12;Välimäki,14;Välimäki,18;Välimäki,28;Välimäki,45;Välimäki,65;Välimäki,82;Välimäki,92;Välimäki,95;Välimäki,92;Välimäki,88
Ylitalo,20;Ylitalo,21;Ylitalo,22;Ylitalo,25;Ylitalo,32;Ylitalo,42;Ylitalo,52;Ylitalo,58;Ylitalo,58;Ylitalo,55;Ylitalo,52
