1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29;1930-39;1940-49;1950-59;1960-69
Suotajärvi,15;Suotajärvi,15;Suotajärvi,16;Suotajärvi,18;Suotajärvi,22;Suotajärvi,25;Suotajärvi,28;Suotajärvi,30;Suotajärvi,28;Suotajärvi,25;Suotajärvi,22
Tihanoff,8;Tihanoff,8;Tihanoff,7;Tihanoff,5;Tihanoff,3;Tihanoff,1;Tihanoff,0;Tihanoff,0;Tihanoff,0;Tihanoff,0;Tihanoff,0
Wasiljeff,12;Wasiljeff,12;Wasiljeff,11;Wasiljeff,9;Wasiljeff,5;Wasiljeff,2;Wasiljeff,1;Wasiljeff,0;Wasiljeff,0;Wasiljeff,0;Wasiljeff,0
Karpin,10;Karpin,10;Karpin,9;Karpin,8;Karpin,6;Karpin,4;Karpin,3;Karpin,2;Karpin,2;Karpin,1;Karpin,1
Guseff,8;Guseff,8;Guseff,7;Guseff,5;Guseff,3;Guseff,1;Guseff,0;Guseff,0;Guseff,0;Guseff,0;Guseff,0
Semenoff,10;Semenoff,10;Semenoff,9;Semenoff,8;Semenoff,5;Semenoff,3;Semenoff,1;Semenoff,0;Semenoff,0;Semenoff,0;Semenoff,0
Trofimoff,6;Trofimoff,6;Trofimoff,6;Trofimoff,5;Trofimoff,3;Trofimoff,1;Trofimoff,0;Trofimoff,0;Trofimoff,0;Trofimoff,0;Trofimoff,0
Jefimoff,8;Jefimoff,8;Jefimoff,7;Jefimoff,6;Jefimoff,4;Jefimoff,2;Jefimoff,1;Jefimoff,1;Jefimoff,1;Jefimoff,1;Jefimoff,1
Sorokin,10;Sorokin,10;Sorokin,9;Sorokin,8;Sorokin,6;Sorokin,4;Sorokin,2;Sorokin,1;Sorokin,1;Sorokin,1;Sorokin,1
Titoff,6;Titoff,6;Titoff,6;Titoff,5;Titoff,3;Titoff,1;Titoff,0;Titoff,0;Titoff,0;Titoff,0;Titoff,0
