1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29
-,0;Kustaava,3;Elina,3;Aili,4;Bertta,5;Eva,5;Salme,5
-,0;Reeta,3;Edit,3;Elina,4;Elin,4;Signe,5;Kaisa,5
-,0;Rosa,3;Rosa,3;Fanni,4;Johanna,4;Saara,5;Jenny,5
-,0;Loviisa,3;Reeta,3;Elna,4;Emma,4;Lilja,5;Lea,5
-,0;Vendla,3;Leena,3;Miina,4;Fanni,4;Aini,4;Hanna,5
-,0;Marja,3;Riitta,3;Saimi,4;Senja,4;Irma,4;Eva,5
-,0;Henriikka,3;Augusta,3;Senja,4;Aini,4;Helli,4;Ester,5
-,0;Kristiina,2;Karoliina,3;Sofia,4;Eva,4;Ellen,4;Impi,5
-,0;Eliina,2;Ester,2;Aliina,4;Suoma,4;Linda,4;Lilja,4
-,0;Jenny,2;Vendla,2;Suoma,3;Elina,4;Lea,4;Maria,4
-,0;Hilja,2;Susanna,2;Sanna,3;Lahja,4;Liisa,4;-,0
-,0;Ulla,2;Sandra,2;Vilhelmiina,3;Kaisa,4;Elna,4;-,0
-,0;Fanni,2;Elli,2;Laina,3;Esteri,3;Suoma,4;-,0
-,0;Lovisa,2;Ellen,2;Lyydi,3;Karin,3;Mirjam,4;-,0
-,0;Josefina,2;Lyyli,2;Amalia,3;Amanda,3;Eila,4;-,0
-,0;Fredrika,2;Vilhelmina,2;Edith,3;Sigrid,3;Kirsti,4;-,0
-,0;Sigrid,2;Ada,2;Ingrid,3;Saara,3;Hellin,3;-,0
-,0;Sandra,2;Manda,2;Alli,3;Hellin,3;Aina,3;-,0
-,0;Elisabet,2;Kustaava,2;Aleksandra,3;Helli,3;Edit,3;-,0
-,0;Heta,2;Edith,2;Linda,3;Edla,3;Ilmi,3;-,0
-,0;Saara,2;Saara,2;Bertta,3;Lyydi,3;Fanny,3;-,0
-,0;Kreeta,2;Julia,2;Naima,2;Tilda,3;Karin,3;-,0
-,0;Tiina,2;Signe,2;Kerttu,2;Helga,3;Svea,3;-,0
-,0;Serafia,2;Loviisa,2;Helga,2;Alina,3;Elin,3;-,0
-,0;Stiina,2;Kristiina,2;Sandra,2;Helena,3;Esteri,3;-,0
-,0;Eriika,2;Suoma,2;Karin,2;Elvi,3;Annikki,3;-,0
-,0;Mari,2;Maija,2;Elma,2;Laura,2;Sanni,3;-,0
-,0;Hedvig,2;Tiina,2;Ada,2;Sylvia,2;Salli,3;-,0
-,0;Roosa,2;Rauha,2;Tekla,2;Sanni,2;Hulda,3;-,0
-,0;Julia,2;Elisabet,2;Agnes,2;Matilda,2;Laila,3;-,0
-,0;Justiina,2;Tekla,2;Saara,2;Lilja,2;Sylvia,2;-,0
-,0;Alexandra,2;Eliina,2;Dagmar,2;Salli,2;Anja,2;-,0
-,0;Vappu,1;Linda,2;Rosa,2;Liisa,2;-,0;-,0
-,0;Amanta,1;Agnes,2;Reeta,2;Ingrid,2;-,0;-,0
-,0;Eedla,1;Ulla,2;Jenni,2;Linda,2;-,0;-,0
-,0;Aurora,1;Josefina,2;Eliina,2;Emmi,2;-,0;-,0
-,0;Adolfiina,1;Erika,2;Naimi,2;Ilmi,2;-,0;-,0
-,0;Tekla,1;Helga,2;Agda,2;Jenni,2;-,0;-,0
-,0;Martta,1;Ingrid,2;Irene,2;Astrid,2;-,0;-,0
-,0;Karolina,1;Lyydi,2;Toini,2;-,0;-,0;-,0
-,0;Henrika,1;Impi,2;Josefiina,2;-,0;-,0;-,0
-,0;Greta,1;Bertta,1;Aune,2;-,0;-,0;-,0
-,0;Brita,1;Henriikka,1;Aini,2;-,0;-,0;-,0
-,0;Katriina,1;Naima,1;Emmi,1;-,0;-,0;-,0
-,0;Valpuri,1;Roosa,1;Manda,1;-,0;-,0;-,0
-,0;Alviina,1;Stiina,1;Ilmi,1;-,0;-,0;-,0
-,0;Elli,1;Heta,1;-,0;-,0;-,0;-,0
-,0;Wilhelmiina,1;Vappu,1;-,0;-,0;-,0;-,0
-,0;Ruusa,1;Ruusa,1;-,0;-,0;-,0;-,0
-,0;Madilta,1;Eriika,1;-,0;-,0;-,0;-,0
