1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29
-,0;Albin,5;Aleksander,4;Herman,6;Pekka,6;Unto,6;Otto,6
-,0;Nestori,4;Anders,4;Urho,6;Hugo,6;Frans,5;Juho,6
-,0;Henrik,4;Albin,4;Kaarle,6;Mikko,6;Johan,5;Pekka,6
-,0;Juha,4;Nestor,4;Oskari,6;Oskar,5;Ilmari,5;Johannes,5
-,0;Jooseppi,4;Olli,4;Ville,5;August,5;Erik,5;Alpo,5
-,0;Simo,4;Juhana,4;Martti,5;Eemil,5;Esko,5;Mikko,5
-,0;Iisakki,4;Gustaf,4;Aukusti,5;Ilmari,4;Aimo,5;Mauno,5
-,0;Elias,4;Erkki,4;Sulo,5;Arvid,4;Emil,5;Ahti,5
-,0;Aleksander,4;Vilho,4;Einar,5;Erik,4;Pekka,4;Aaro,4
-,0;Gustaf,4;Petter,4;Erkki,5;Vihtori,4;Mauno,4;Erik,4
-,0;Isak,4;Onni,4;Viljo,5;Aaro,4;Aaro,4;Kalevi,4
-,0;Petter,3;Elias,4;Nestor,5;Ville,4;Mikko,4;Osmo,4
-,0;Lauri,3;Hugo,4;Tuomas,5;Edvard,4;Hugo,4;Mauri,4
-,0;Aleksi,3;Alfred,4;Arvid,4;Kaarle,4;Kaino,3;Risto,4
-,0;Robert,3;Iisakki,3;Albin,4;Oiva,3;Vieno,3;Ilmari,4
-,0;Alfred,3;Akseli,3;Arvi,4;Pauli,3;Ahti,3;Keijo,4
-,0;Nestor,3;Simo,3;Aleksander,4;Viktor,3;Einar,3;Jorma,4
-,0;Nikolai,3;Evert,3;Iivari,4;Gunnar,3;Osmo,3;Nils,4
-,0;Gustav,3;Fredrik,3;Erik,4;Oskari,3;Gunnar,3;Johan,3
-,0;Taneli,3;Axel,3;Evert,4;Herman,3;Sven,3;Heimo,3
-,0;Joonas,3;Albert,3;Vilhelm,4;Aukusti,3;Risto,3;Taisto,3
-,0;Axel,3;Hjalmar,3;Nikolai,4;Artturi,3;Hannes,3;Aarre,3
-,0;Aapeli,3;Jooseppi,3;Anders,3;Nikolai,3;Toimi,3;Helge,3
-,0;Aatami,3;Nikolai,3;Artturi,3;Taavetti,3;Jorma,3;Teuvo,3
-,0;Vilho,3;Arvid,3;Petter,3;Mauno,3;Helge,3;Kaino,3
-,0;Albert,3;Iivari,3;Juhana,3;Viljam,3;Kustaa,3;Jouko,3
-,0;Aaro,3;Nestori,3;Aleksanteri,3;Olavi,3;Nils,2;Voitto,3
-,0;Jalmari,3;Aksel,3;Albert,3;Nestor,3;Elis,2;Frans,3
-,0;Adolf,3;Armas,3;Aksel,3;Tuomas,3;Heimo,2;Aulis,3
-,0;Antton,2;Sulo,3;Olli,3;Leo,3;Paul,2;Hugo,3
-,0;Augusti,2;Henrik,3;Axel,3;Kosti,3;Alpo,2;Veli,3
-,0;Adam,2;Eino,3;Alfred,3;Hannes,3;Jalmari,2;Olli,3
-,0;Aksel,2;Adolf,3;Simo,3;Paul,3;Aulis,2;Paul,3
-,0;Evert,2;Jalmar,3;Viljam,3;Anton,2;Veli,2;Lars,3
-,0;Akseli,2;Aapeli,3;Eero,3;Petter,2;Lars,2;Sven,2
-,0;Erland,2;Aleksi,3;Aleksi,3;Aleksander,2;Olli,2;Allan,2
-,0;Iivari,2;Robert,2;Ilmari,3;Olli,2;Oskar,2;Kalervo,2
-,0;Pietari,2;Verner,2;Hjalmar,3;Bruno,2;Eemil,2;Tuure,2
-,0;Konstantin,2;Joonas,2;Aaro,3;Iivari,2;Nikolai,2;Gunnar,2
-,0;Arvid,2;Uuno,2;Verner,3;Verner,2;Aarre,2;Hannes,2
-,0;-,0;Martti,2;Gustaf,3;Einari,2;Tuure,2;Simo,2
-,0;-,0;Aatami,2;Henrik,3;Albin,2;Einari,2;Emil,2
-,0;-,0;Tahvo,2;Akseli,3;Valter,2;August,2;Elis,2
-,0;-,0;Pietari,2;Jalmar,3;Simo,2;Kaarle,2;Urpo,2
-,0;-,0;Isak,2;Elias,2;Anders,2;Leevi,2;Einar,2
-,0;-,0;Aaro,2;Gunnar,2;Vieno,2;Tuomas,2;Aatos,2
-,0;-,0;Viljam,2;Tauno,2;Sven,2;Arvid,2;Bror,2
-,0;-,0;Adam,2;Fredrik,2;Evert,2;Åke,2;Toimi,2
-,0;-,0;Konstantin,2;Adolf,2;Jalmar,2;Jouko,2;Eelis,2
-,0;-,0;Niilo,2;Iisakki,2;Akseli,2;Taisto,2;Seppo,2
-,0;-,0;Urho,2;Nestori,2;Axel,2;Mauri,2;Leevi,2
-,0;-,0;Arvo,2;Ernst,2;Vilhelm,2;Edvin,2;Åke,2
-,0;-,0;Eemeli,2;Veikko,2;Georg,2;Voitto,2;Veijo,2
-,0;-,0;Anselm,2;Kosti,2;Henrik,2;Aleksander,2;Vieno,2
-,0;-,0;Ernst,2;Hannes,2;Edvin,2;Viktor,2;Sakari,2
-,0;-,0;Julius,2;Pietari,2;Toimi,2;Artturi,2;Kosti,2
-,0;-,0;Taneli,2;Robert,2;Aksel,2;Bror,2;Heino,2
-,0;-,0;Salomon,2;Jooseppi,2;Uno,2;Runar,1;Timo,2
-,0;-,0;Artturi,2;Ivar,2;Pentti,2;Vihtori,1;Pertti,2
-,0;-,0;Kusti,2;Julius,2;Elias,2;Birger,1;Ensio,1
-,0;-,0;Eevert,2;Isak,2;Elis,2;Teuvo,1;Kurt,1
-,0;-,0;-,0;-,0;-,0;Harry,1;-,0
